id,z_phot,z_phot16,z_phot84,lbol,r_eff_50_phys,z_dist_proxy,log_Sigma,log_Reff,log_lbol,z_asym_norm,density_group,size_group
21488,5.413992,5.3823853,5.4623175,45.861489667357695,69.83585733604345,0.07993220000000001,-2.5238586535849654,1.844078469107335,1.6614481573238384,-0.20916226501959895,Q4 (highest Σ),Q1 (smallest)
22358,4.6764946,4.5681295,4.753891,43.671183064180056,105.99213398821126,0.1857614999999999,-2.907502187643019,2.0252736360923786,1.640194957235872,0.16671215510210122,Q2 (low Σ),Q3 (large)
23107,4.9525127,4.931435,5.068656,43.85085613759044,169.02787965091744,0.13722100000000026,-3.3110884829049647,2.2279583435482535,1.6419780768856767,-0.6927919196041399,Q1 (lowest Σ),Q4 (largest)
25430,7.1282,7.077977,7.1594224,45.81265614941842,73.30048856467192,0.08144540000000067,-2.5663781390897347,1.8651068693237194,1.6609854722518378,0.2332924879735257,Q4 (highest Σ),Q2 (small)
28931,7.9047303,6.3406844,7.998672,46.54689344293954,64.03652116954194,1.6579876000000002,-2.4421146324363363,1.8064277305253802,1.6678907013085578,0.8866798521291712,Q4 (highest Σ),Q1 (smallest)
29392,7.4709635,7.3058276,7.7810206,45.97135115744949,99.15001900293842,0.475193,-2.82724820783496,1.9962928017775343,1.6624872684142427,-0.3049733476713667,Q2 (low Σ),Q3 (large)
30157,4.726915,4.5406237,4.762221,43.619686184213826,140.7088541482793,0.2215973,-3.1541101887307454,2.14832142640954,1.6396825367824677,0.6813499081441852,Q1 (lowest Σ),Q4 (largest)
30191,4.036579,3.9649258,4.2770863,43.63315840314544,143.98042061934908,0.3121604999999996,-3.173940097919535,2.1583034379625374,1.6398166506996736,-0.5409207763314082,Q1 (lowest Σ),Q4 (largest)
30520,5.349781,5.0285106,5.394231,44.49896215695743,125.41466121274044,0.3657204000000007,-3.045496609213266,2.0983483093144972,1.6483498821098623,0.7569181265250708,Q1 (lowest Σ),Q4 (largest)
32880,4.7559557,4.4507537,4.833678,44.36809137714993,103.41219140791682,0.3829243,-2.879222608739904,2.014571741360198,1.6470707466746248,0.5940591913336418,Q2 (low Σ),Q3 (large)
33445,4.34576,4.1539474,4.5050545,43.84535013000579,148.13361631268566,0.3511071000000001,-3.1965335805429294,2.1706536251818442,1.6419235425148926,0.09261589982088303,Q1 (lowest Σ),Q4 (largest)
33898,4.545273,4.2995605,4.69123,44.14028855491225,109.44208787273796,0.3916694999999999,-2.9306834441264216,2.039184369673553,1.6448351679148183,0.2546930511566504,Q2 (low Σ),Q3 (large)
36872,7.135115,7.1244817,7.1666317,45.80524062331789,79.31382445272976,0.042150000000000354,-2.6349324872514135,1.8993488917345647,1.6609151689118498,-0.49545432977460496,Q3 (high Σ),Q2 (small)
37557,5.655718,5.6390715,5.671591,45.84695929949107,144.48232119913436,0.03251950000000026,-3.1554687558536387,2.1598147102387943,1.6613105373180834,0.023785728562868386,Q1 (lowest Σ),Q4 (largest)
37751,5.3592114,5.320074,5.398369,45.48732537350818,69.87817287995404,0.07829499999999978,-2.5279425530902584,1.8443415408654489,1.6578904013347728,-0.00025799859504330527,Q4 (highest Σ),Q1 (smallest)
37878,4.7731967,4.5939593,4.815888,44.26907788764392,141.10773680466824,0.2219287000000003,-3.150151049583506,2.149550826365681,1.6461004758419893,0.6152701295506136,Q1 (lowest Σ),Q4 (largest)
39711,5.461955,5.4250064,5.4843006,44.43538632199932,118.3386882015886,0.059294200000000075,-2.995674413933413,2.0731267507617717,1.6477289602842642,0.24628041191211344,Q2 (low Σ),Q4 (largest)
44435,5.1732736,5.1461225,5.1951075,44.325101728481634,98.62308043066938,0.048985000000000056,-2.83845725834175,1.9939785633254017,1.6466497410031873,0.10854751454527609,Q2 (low Σ),Q3 (large)
45383,4.8551655,4.265687,5.2944984,44.132558222199755,118.60664697163948,1.0288114000000004,-3.0006088268800517,2.074109028507276,1.6447591028286346,0.1459408400801158,Q2 (low Σ),Q4 (largest)
45637,4.5362873,4.3728466,4.569045,44.96644713110943,109.9240731348419,0.1961984000000001,-2.9264469228405967,2.0410928123938983,1.6528885746413338,0.6660757682019801,Q2 (low Σ),Q3 (large)
47509,5.659403,5.6376305,5.6756616,45.30803553078818,196.7753709572188,0.03803109999999954,-3.4289161198651548,2.293970739792804,1.6561752324145878,0.14498397364263646,Q1 (lowest Σ),Q4 (largest)
48686,4.843895,4.24566,5.2866354,43.79679120245192,188.83439301175304,1.0409753999999998,-3.407869773081523,2.2760810966087863,1.6414422928301833,0.14937394293851705,Q1 (lowest Σ),Q4 (largest)
