id,field,z_phot,M_msun,R_pc,Sigma,logSigma,f444w_flux,f150w_flux,color_mag,color_excess,z_N,emit_enhance,sersic_enhance,z_sersic,geom_factor,geff_factor,z_final,dmag_N,dmag_emit,dmag_sersic,dmag_geo,dmag_final
42859,primer-uds-north,6.580927,1778279410.0389228,79.06514917711044,90548.22429171247,4.956879937942486,0.2371030818074591,0.0081985296743894,-3.6530030648545067,-1.6263541223656364,1.076622522961144e-06,1.455,3.671056845830528,3.952342483291842e-06,1.3,1.4261151888201504,7.327444340894141e-06,2.337856104073909e-06,3.4015806314275372e-06,8.58240265542721e-06,1.1157123452055373e-05,1.5911343218517677e-05
43738,primer-uds-north,5.090068,5370317963.702533,93.7992621780625,194290.37334686777,5.288451282813331,0.7609768529956923,0.0641538335581396,-2.685372084402517,-0.6587231419136468,2.7406219609286244e-06,1.455,3.671056845830528,1.0060979011500512e-05,1.3,2.3393190068947005,3.0596591258443345e-05,5.951184973070854e-06,8.658974135818094e-06,2.1847138336195522e-05,2.840127983705418e-05,6.643965374295607e-05
43932,primer-uds-north,4.235388,3467368504.5253096,124.4399173826422,71273.92883751907,4.852930699100398,0.2445397279934735,0.0768208113730922,-1.2571763374284115,0.7694726050604588,1.3337942523418879e-06,1.455,3.671056845830528,4.896434520989098e-06,1.3,1.2975796006276603,8.259567615317882e-06,2.896297418931776e-06,4.2141127445457345e-06,1.0632472467330785e-05,1.3822214207530022e-05,1.793542319119678e-05
44053,primer-uds-north,5.438139,2630267991.8953815,126.5139810188023,52308.598419058835,4.718573083494775,0.202940298207054,0.0171513943511384,-2.6826721542473253,-0.656023211758455,9.9519923566395e-07,1.455,3.671056845830528,3.6534329670494526e-06,1.3,1.187096960924931,5.638072923765567e-06,2.1610476822159368e-06,3.144324377624188e-06,7.933328887965009e-06,1.0313327554354511e-05,1.2242919796797593e-05
44681,primer-uds-north,4.5811663,1513561248.436207,82.07716409557993,71516.36668478149,4.8544054424652625,0.239278778265488,0.0283229424122971,-2.3169145330998973,-0.29026559061102697,8.827265990050114e-07,1.455,3.671056845830528,3.2405395242740464e-06,1.3,1.2990992139146387,5.47271705323685e-06,1.9168164548855045e-06,2.788967941858409e-06,7.036742168908034e-06,9.147764819580444e-06,1.1883854086192942e-05
46085,primer-uds-north,4.78585,4897788193.684457,75.19261660062519,275739.9747066395,5.4404997314160015,0.6121386476712231,0.1008225031708423,-1.958230810188151,0.06841813230071936,3.1179802343367245e-06,1.455,3.671056845830528,1.1446282684426106e-05,1.3,3.264418555795285,4.85750948668945e-05,6.770608052279236e-06,9.851234716066288e-06,2.4855287040754987e-05,3.2311873152981486e-05,0.00010547947829309625
48927,primer-uds-north,7.907303,9332543007.969925,88.70323407788338,377547.1695397604,5.576971218723045,0.0665620736807755,0.0152384661335618,-1.6007139733772002,0.42593496911167006,5.036271117267754e-06,1.455,3.671056845830528,1.8488437562504347e-05,1.3,4.627972078680724,0.00011123316466301263,1.093612377799055e-05,1.591206009697625e-05,4.014713206204222e-05,5.219127168065489e-05,0.0002415397480889108
52141,primer-uds-north,7.130078,17782794100.38923,83.40011570308987,813798.3800577864,5.910516821014115,0.1719329567921033,0.0409973361866519,-1.5565087318165682,0.47014021067230205,1.02066189798111e-05,1.455,3.671056845830528,3.746907847861934e-05,1.3,12.481069328819787,0.0006079504160322286,2.216339150910479e-05,3.224773464574747e-05,8.136307012632132e-05,0.00010577199116421773,0.0013201475547679154
52856,primer-uds-north,6.320852,12589254117.941662,130.3689840091876,235777.06939604806,5.372501565309482,0.0876914208706562,0.0554318603022788,-0.497994133023442,1.5286548094654284,4.622471846167711e-06,1.455,3.671056845830528,1.6969356915532854e-05,1.3,2.7904386975945696,6.155753527351598e-05,1.0037570077718868e-05,1.4604664463080953e-05,3.684849034931352e-05,4.790303745410757e-05,0.00013367048944426383
53667,primer-uds-north,4.5639205,2691534803.9269137,139.53292252148583,44004.465076983935,4.643496746029599,0.2836616798897035,0.0472143259290506,-1.9468171920260289,0.07983175046284141,9.233617181182551e-07,1.455,3.671056845830528,3.3897133564758585e-06,1.3,1.14436177955047,5.042775931417523e-06,2.00505449489732e-06,2.9173542900756004e-06,7.360669029756078e-06,9.568869738682901e-06,1.0950248802445806e-05
54143,primer-uds-north,4.7315016,4466835921.509635,135.45754054007486,77489.65999418614,4.889243755318419,0.1550780777689225,0.0473885174401021,-1.2871932181623293,0.7394557243265409,1.5785028476710767e-06,1.455,3.671056845830528,5.794773685105889e-06,1.3,1.337343806361824,1.0074486106158297e-05,3.4276753820605888e-06,4.9872676808981575e-06,1.2583191176598296e-05,1.6358148529577785e-05,2.1876468619577627e-05
54603,primer-uds-north,5.651867,5754399373.371567,120.81149651493617,125497.07370324575,5.098633599208694,0.1227774969641753,0.0269255026861741,-1.6473873879022438,0.37926155458662647,2.280028584041708e-06,1.455,3.671056845830528,8.370114542135597e-06,1.3,1.6952764296382206,1.844655526565096e-05,4.951019163154992e-06,7.203732882390513e-06,1.8175472792738263e-05,2.3628114630559742e-05,4.005618580997792e-05
55902,primer-uds-north,8.670386,12589254117.941662,76.45530737967627,685543.2356441625,5.836034849949102,0.1130102679733642,0.0199064789027784,-1.8853086419492848,0.14134030053958546,7.882081425731754e-06,1.455,3.671056845830528,2.8935568977326205e-05,1.3,9.876860252001514,0.0003715303424315617,1.7115722345537082e-05,2.4903376012756452e-05,6.283278968791845e-05,8.168262659429398e-05,0.000806767887888264
