id,field,z,m_f444w,color,logSigma,reff_kpc
57494,primer-uds-south,4.0239935,23.48006681275924,-1.7843383521219494,-7.568136842249848,0.12247714623353806
59568,primer-uds-south,8.901577,25.89397870090118,-2.380586727411142,-8.15213384871579,0.07893528551401158
59880,primer-uds-south,5.663111,26.706828167010947,-2.3601683305829937,-8.841138003490974,0.12000611277187473
59971,primer-uds-south,5.3915443,26.23627995004498,-1.3980443826119995,-8.827602440169919,0.1467388901779425
60046,primer-uds-south,5.462843,26.352468380441017,-0.977306948538299,-8.705182536443862,0.1208085278514652
60446,primer-uds-south,4.36605,25.22429590356115,-2.5748122016358295,-8.089958336690264,0.10002763199041788
62395,primer-uds-south,5.6591854,24.54145264588697,-2.738429868863591,-7.616537782740556,0.07942886599802143
66511,primer-uds-south,7.1307554,23.67674334606835,-4.011143109292785,-7.56357126646007,0.11128508555443563
67076,primer-uds-south,7.9367976,25.55346524849707,-1.909348790497443,-8.087728881572735,0.0857376135588745
68947,primer-uds-south,5.6559973,24.248514872320985,-3.1376388011800493,-7.533303803385268,0.08259408137195713
69772,primer-uds-south,5.4293756,24.266266022125667,-2.537361842677118,-7.39183348645771,0.06960870252850679
6756,ceers-full,7.136083,25.604448530576306,-2.37472683216172,-7.712921068184727,0.05439648383219844
9246,ceers-full,4.6044097,25.30062316700001,-2.2562947851009163,-7.801285086031023,0.06926564929034056
12234,ceers-full,6.142212,25.084334449234547,-2.0280240032453243,-7.559804474215815,0.05794758580918855
12544,ceers-full,4.549665,26.806794037085503,-1.3160072032887093,-8.5700006694111,0.08387673704464756
13736,ceers-full,5.356953,25.003846777781757,-2.5272033281492803,-7.620395844751146,0.06448052529472373
14076,ceers-full,5.661391,26.71621576733804,-1.6466950623542722,-8.415115530286137,0.07316689272624528
19354,ceers-full,5.4279175,25.629059614366874,-2.6091258340716195,-7.855104476806291,0.06334908049523927
20010,ceers-full,8.934445,27.27416476941562,-1.4952426081807317,-8.527712519384885,0.06442038348903961
20632,ceers-full,5.653135,25.18354398661476,-2.838208961982037,-7.666924227361811,0.06262580427476853
20897,ceers-full,4.533114,24.460491299276338,-3.668980949503318,-7.429159460198029,0.0664479321401957
22049,ceers-full,7.1350226,25.546645346679426,-2.5748508357275846,-7.70913324791721,0.055620841436950896
22239,ceers-full,7.131442,26.640989511037155,-3.7117337952403204,-8.26719296294275,0.06388495294759668
23054,ceers-full,6.8682966,26.38645663307178,-1.8352168710881003,-8.170796585131995,0.06428460296438449
24464,ceers-full,5.655386,25.548455854396334,-2.140851860968784,-7.79824385262785,0.06157873392283105
28748,ceers-full,4.7529554,24.537170802077682,-2.524094433044901,-7.449437891543521,0.06565756697521524
29421,ceers-full,4.785098,26.044314151685278,-1.5718755448238468,-8.118091834468729,0.07082442982441935
30600,ceers-full,4.025932,26.37976286853638,-2.4918791570110805,-8.433675979672788,0.0872741074778178
36886,ceers-full,4.4499197,25.232238701625143,-2.303430274299714,-7.795880428463883,0.07103828593380158
36985,ceers-full,5.6537137,25.36241325736177,-2.8989684133185065,-7.720519077323727,0.061344677436490275
39094,ceers-full,4.73153,25.351432686434478,-1.705665242331598,-7.811683977272947,0.06847869120959936
40589,ceers-full,8.006711,26.226250512198543,-2.065696119956417,-8.037720922746718,0.05937592096716466
41179,ceers-full,7.24225,25.67661520085772,-1.379909852299594,-7.788798771710572,0.0574217396408689
41913,ceers-full,5.2459974,23.401031331616807,-3.4759284479021346,-6.940050241941398,0.06163378721184913
42093,ceers-full,6.445882,24.7916015525732,-3.0575126338914735,-7.416670304711424,0.056236054330971195
47021,ceers-full,8.0230665,27.330655859213095,-1.4399235369113725,-8.56295626492278,0.06536525512787184
48983,ceers-full,7.136761,24.163775485123054,-2.691299935248182,-7.096360536023978,0.05193081889094175
49360,ceers-full,4.737312,26.081178199029644,-1.206824139046205,-8.109058950940423,0.06891183834860218
55490,ceers-full,7.1493306,24.108736067156375,-2.338472507819521,-7.0819566433977,0.052387914284993016
57051,ceers-full,5.668079,25.55911294148952,-1.9400711926285332,-7.84134717951037,0.06439483006557024
58630,ceers-full,4.546808,25.53474416533631,-2.015556709414966,-7.885608570435883,0.06852601108185241
59162,ceers-full,7.84113,25.481050176262197,-1.7049620574698139,-7.641818653030765,0.05305169831149987
59626,ceers-full,6.367115,25.576870794873614,-1.3635340508604337,-7.748694257312049,0.05740807305352339
60774,ceers-full,5.2847676,25.122917951031994,-2.1869163083782226,-7.634535647434113,0.062041777733201436
61323,ceers-full,7.1270275,26.200806233490834,-2.357791023902294,-8.058812252098722,0.06155238414107853
63106,ceers-full,5.655657,24.88649852958918,-2.096562616673932,-7.510251324295311,0.059955075778447574
