id,field,group,z_phot,n_bands,ir_excess,r_eff,z_dist_pred,chi2nu_null,chi2nu_geff,delta_chi2_nu,delta_BIC,verdict
13074,primer-cosmos-west,Silver,5.214783,7,14.255191,79.730629,0.046679,1147.034790,1183.000460,-35.965670,-179.828349,Null wins
13666,primer-cosmos-west,Silver,5.288053,7,7.718166,115.843465,0.048223,44.771267,46.596101,-1.824834,-9.124171,Null wins
15233,primer-cosmos-west,Silver,4.986018,7,8.500773,92.769655,0.042021,207.989671,202.056083,5.933588,29.667940,Weak
18540,primer-cosmos-west,Silver,8.933716,7,6.458171,105.953448,0.156049,3.181267,3.316975,-0.135708,-0.678539,Neutral
21037,primer-cosmos-west,Silver,4.476105,7,16.813383,99.044359,0.032533,104.811956,50.197971,54.613985,273.069926,Weak
22379,primer-cosmos-west,Silver,5.734882,7,10.687143,115.640721,0.058171,29.717768,31.065588,-1.347819,-6.739097,Null wins
22702,primer-cosmos-west,Silver,5.431190,7,16.784323,102.772502,0.051310,2716.477606,2804.193151,-87.715545,-438.577723,Null wins
26495,primer-cosmos-west,Silver,5.019624,7,12.750111,70.676248,0.042690,761.724527,775.996623,-14.272096,-71.360479,Null wins
28491,primer-cosmos-west,Silver,5.585109,7,12.896093,79.566276,0.054734,478.403304,490.599513,-12.196209,-60.981045,Null wins
28500,primer-cosmos-west,Silver,5.428970,7,15.998687,75.641827,0.051261,320.581756,327.940288,-7.358531,-36.792657,Null wins
29372,primer-cosmos-west,Silver,5.385817,7,3.853601,93.850814,0.050321,47.637904,48.817435,-1.179531,-5.897656,Null wins
29568,primer-cosmos-west,Silver,4.360321,7,7.569969,94.097575,0.030554,29.949086,23.180680,6.768406,33.842030,Weak
30073,primer-cosmos-west,Silver,6.004138,7,5.445239,87.423385,0.064605,81.771310,84.528044,-2.756734,-13.783672,Null wins
31319,primer-cosmos-west,Silver,6.333874,7,3.404245,130.859762,0.072930,170.328476,12.912082,157.416394,787.081968,Weak
31661,primer-cosmos-west,Silver,4.462623,7,4.111409,122.350284,0.032299,18.388467,1.668202,16.720265,83.601325,Weak
32535,primer-cosmos-west,Silver,5.749178,7,2.986649,81.890578,0.058504,134.255882,132.525857,1.730025,8.650125,Weak
33230,primer-cosmos-west,Silver,4.752186,7,3.062331,102.997147,0.037515,18.760731,18.409225,0.351506,1.757528,Weak
36162,primer-cosmos-west,Silver,6.410995,7,4.384833,133.523919,0.074947,999.398606,338.269878,661.128728,3305.643642,Weak
