id,field,z_phot,muv,lbol,av_catalog,re_phys_pc,logMstar_uv_method,logMstar_lbol_method,logMstar_color_corrected,logMstar_best,logMstar_err,method,n_bands_used
51855,primer-cosmos-east,4.651201,-19.735592258413163,44.89487579758355,0.7000000000000001,94.25044203453028,10.01,-32.23,10.01,10.01,0.3,M_UV_relation,0
52084,primer-cosmos-east,7.07561,-19.18404760972223,46.03041525911908,1.6,55.488546720226125,10.23,-32.22,10.23,10.23,0.3,M_UV_relation,0
52124,primer-cosmos-east,4.833804,-19.040208827876313,44.96137677023151,1.2000000000000002,147.2682086334743,9.75,-32.23,9.75,9.75,0.3,M_UV_relation,0
54661,primer-cosmos-east,5.667634,-18.696773447367836,45.842531661535126,3.9,121.9266954000634,9.76,-32.22,9.76,9.76,0.3,M_UV_relation,0
55423,primer-cosmos-east,5.408047,-18.19569406306958,45.28190599566655,1.4,88.75092882326122,9.49,-32.23,9.49,9.49,0.3,M_UV_relation,0
344,primer-uds-south,7.1353946,-18.435521851204093,45.86760931211554,2.5,95.11385632924762,9.92,-32.22,9.92,9.92,0.3,M_UV_relation,0
2480,primer-uds-south,4.684057,-17.9441138390168,44.04413933140996,0.5,168.19655201304698,9.25,-32.24,9.25,9.25,0.3,M_UV_relation,0
4620,primer-uds-south,5.7462945,-19.253751935075616,45.30451539533148,1.3,81.08071303865651,10.01,-32.23,10.01,10.01,0.3,M_UV_relation,0
7830,primer-uds-south,5.5453625,-18.498528016985617,44.574569776414066,0.9,130.2652787861676,9.65,-32.23,9.65,9.65,0.3,M_UV_relation,0
9104,primer-uds-south,6.0930605,-18.756118164337515,44.66242354706938,0.7000000000000001,106.35932378958098,9.86,-32.23,9.86,9.86,0.3,M_UV_relation,0
9791,primer-uds-south,5.0277753,-17.58747064739303,44.52712784949339,1.2000000000000002,111.88804446545645,9.16,-32.24,9.16,9.16,0.3,M_UV_relation,0
11501,primer-uds-south,4.6799717,-20.01098619760709,45.56318157708323,2.0,86.79155573125136,10.13,-32.23,10.13,10.13,0.3,M_UV_relation,0
14258,primer-uds-south,5.4718714,-18.495280508337014,44.815712616158166,1.8,164.2733944448308,9.63,-32.23,9.63,9.63,0.3,M_UV_relation,0
17986,primer-uds-south,4.940114,-19.85290693743861,45.359298301960415,0.9,70.42326572571035,10.12,-32.23,10.12,10.12,0.3,M_UV_relation,0
21488,primer-uds-south,5.413992,-19.45355383036247,45.861489667357695,2.1,69.83585733604345,10.03,-32.22,10.03,10.03,0.3,M_UV_relation,0
22358,primer-uds-south,4.6764946,-18.482651859367177,43.671183064180056,0.0,105.99213398821126,9.48,-32.24,9.48,9.48,0.3,M_UV_relation,0
23107,primer-uds-south,4.9525127,-17.47744406286774,43.85085613759044,0.3,169.02787965091744,9.1,-32.24,9.1,9.1,0.3,M_UV_relation,0
25430,primer-uds-south,7.1282,-18.9639540098352,45.81265614941842,2.7,73.30048856467192,10.15,-32.22,10.15,10.15,0.3,M_UV_relation,0
28931,primer-uds-south,7.9047303,-19.695904133801314,46.54689344293954,2.8000000000000003,64.03652116954194,10.61,-32.22,10.61,10.61,0.3,M_UV_relation,0
29392,primer-uds-south,7.4709635,-19.271040134684796,45.97135115744949,2.2,99.15001900293842,10.35,-32.22,10.35,10.35,0.3,M_UV_relation,0
30157,primer-uds-south,4.726915,-17.462243864858824,43.619686184213826,0.2,140.7088541482793,9.05,-32.24,9.05,9.05,0.3,M_UV_relation,0
30191,primer-uds-south,4.036579,-18.398749253377293,43.63315840314544,0.0,143.98042061934908,9.32,-32.24,9.32,9.32,0.3,M_UV_relation,0
30520,primer-uds-south,5.349781,-18.550246169587687,44.49896215695743,0.9,125.41466121274044,9.63,-32.24,9.63,9.63,0.3,M_UV_relation,0
32880,primer-uds-south,4.7559557,-18.4068519829054,44.36809137714993,0.9,103.41219140791682,9.46,-32.24,9.46,9.46,0.3,M_UV_relation,0
33445,primer-uds-south,4.34576,-18.866956947243903,43.84535013000579,0.0,148.13361631268566,9.58,-32.24,9.58,9.58,0.3,M_UV_relation,0
33898,primer-uds-south,4.545273,-18.168545470694003,44.14028855491225,1.2000000000000002,109.44208787273796,9.32,-32.24,9.32,9.32,0.3,M_UV_relation,0
36872,primer-uds-south,7.135115,-18.298870973293397,45.80524062331789,2.4000000000000004,79.31382445272976,9.86,-32.22,9.86,9.86,0.3,M_UV_relation,0
37557,primer-uds-south,5.655718,-19.7382513588335,45.84695929949107,2.7,144.48232119913436,10.2,-32.22,10.2,10.2,0.3,M_UV_relation,0
37751,primer-uds-south,5.3592114,-18.57945964960397,45.48732537350818,2.1,69.87817287995404,9.65,-32.23,9.65,9.65,0.3,M_UV_relation,0
37878,primer-uds-south,4.7731967,-18.44031234984277,44.26907788764392,0.8,141.10773680466824,9.48,-32.24,9.48,9.48,0.3,M_UV_relation,0
39711,primer-uds-south,5.461955,-18.15637922733944,44.43538632199932,1.5,118.3386882015886,9.49,-32.24,9.49,9.49,0.3,M_UV_relation,0
44435,primer-uds-south,5.1732736,-17.132449316810934,44.325101728481634,1.1,98.62308043066938,8.99,-32.24,8.99,8.99,0.3,M_UV_relation,0
45383,primer-uds-south,4.8551655,-17.512081162343055,44.132558222199755,0.9,118.60664697163948,9.09,-32.24,9.09,9.09,0.3,M_UV_relation,0
45637,primer-uds-south,4.5362873,-19.72739182626517,44.96644713110943,1.2000000000000002,109.9240731348419,9.98,-32.23,9.98,9.98,0.3,M_UV_relation,0
47509,primer-uds-south,5.659403,-19.533665121566017,45.30803553078818,1.8,196.7753709572188,10.11,-32.23,10.11,10.11,0.3,M_UV_relation,0
48686,primer-uds-south,4.843895,-18.156006215187865,43.79679120245192,0.3,188.83439301175304,9.37,-32.24,9.37,9.37,0.3,M_UV_relation,0
48982,primer-uds-south,5.38785,-18.45270954545382,45.079966135096285,2.0,86.64903684941646,9.6,-32.23,9.6,9.6,0.3,M_UV_relation,0
50716,primer-uds-south,7.8636265,-18.313102814447895,45.9216824163476,2.7,69.90504346274642,10.01,-32.22,10.01,10.01,0.3,M_UV_relation,0
51593,primer-uds-south,4.457851,-17.470290655999275,44.5756439747154,1.0,98.23092206583677,9.0,-32.23,9.0,9.0,0.3,M_UV_relation,0
52581,primer-uds-south,6.166954,-18.267739337359817,45.46867675202326,1.3,77.02489447674957,9.67,-32.23,9.67,9.67,0.3,M_UV_relation,0
55634,primer-uds-south,6.879805,-20.151941497626616,44.65229192609113,0.1,74.47756139010417,10.61,-32.23,10.61,10.61,0.3,M_UV_relation,0
55783,primer-uds-south,4.6260314,-19.292877225315063,45.17508989809598,1.4,109.96452826156413,9.81,-32.23,9.81,9.81,0.3,M_UV_relation,0
57494,primer-uds-south,4.0239935,-20.2558488745766,45.48754545616913,1.6,122.47714623353806,10.11,-32.23,10.11,10.11,0.3,M_UV_relation,0
59568,primer-uds-south,8.901577,-18.946349220321327,46.37644879811365,2.7,78.93528551401158,10.48,-32.22,10.48,10.48,0.3,M_UV_relation,0
59880,primer-uds-south,5.663111,-17.514468259399724,45.075477511127126,3.2,120.00611277187473,9.25,-32.23,9.25,9.25,0.3,M_UV_relation,0
59971,primer-uds-south,5.3915443,-18.431506085331232,44.300690984416704,0.9,146.7388901779425,9.59,-32.24,9.59,9.59,0.3,M_UV_relation,0
60046,primer-uds-south,5.462843,-18.833020472806208,44.45040520273225,1.0,120.8085278514652,9.78,-32.24,9.78,9.78,0.3,M_UV_relation,0
60446,primer-uds-south,4.36605,-17.69169996415502,44.55113809793497,1.2000000000000002,100.02763199041787,9.08,-32.24,9.08,9.08,0.3,M_UV_relation,0
62395,primer-uds-south,5.6591854,-18.51203043636557,45.24261786414534,1.6,79.42886599802144,9.68,-32.23,9.68,9.68,0.3,M_UV_relation,0
66511,primer-uds-south,7.1307554,-19.231242016423792,46.888965102697576,3.2,111.28508555443562,10.26,-32.21,10.26,10.26,0.3,M_UV_relation,0
67076,primer-uds-south,7.9367976,-19.480856916399453,46.691284195010034,3.9,85.7376135588745,10.52,-32.21,10.52,10.52,0.3,M_UV_relation,0
68947,primer-uds-south,5.6559973,-18.17152445121644,45.596867065612415,2.2,82.59408137195713,9.53,-32.23,9.53,9.53,0.3,M_UV_relation,0
69772,primer-uds-south,5.4293756,-19.194279411718135,45.900065719599525,2.7,69.60870252850678,9.93,-32.22,9.93,9.93,0.3,M_UV_relation,0
6756,ceers-full,7.136083,-18.23280687828205,45.8251550425391,2.5,54.396483832198435,9.84,-32.22,9.84,9.84,0.3,M_UV_relation,0
9246,ceers-full,4.6044097,-17.971671112965936,44.56754124857708,1.0,69.26564929034056,9.24,-32.23,9.24,9.24,0.3,M_UV_relation,0
12234,ceers-full,6.142212,-18.842551883065187,45.423219681188336,1.7000000000000002,57.94758580918855,9.91,-32.23,9.91,9.91,0.3,M_UV_relation,0
12544,ceers-full,4.549665,-18.01673045710073,43.74086607688362,0.4,83.87673704464756,9.25,-32.24,9.25,9.25,0.3,M_UV_relation,0
13736,ceers-full,5.356953,-18.43845338019,45.06049215488367,1.4,64.48052529472373,9.59,-32.23,9.59,9.59,0.3,M_UV_relation,0
14076,ceers-full,5.661391,-17.953710189762077,44.58161097780016,1.9,73.16689272624528,9.44,-32.23,9.44,9.44,0.3,M_UV_relation,0
19354,ceers-full,5.4279175,-17.186823340763663,44.85664388655694,1.6,63.349080495239264,9.06,-32.23,9.06,9.06,0.3,M_UV_relation,0
20010,ceers-full,8.934445,-17.890357612532686,46.31687067254751,3.7,64.42038348903961,10.03,-32.22,10.03,10.03,0.3,M_UV_relation,0
20632,ceers-full,5.653135,-17.81031359915508,45.206166510521385,2.0,62.625804274768534,9.37,-32.23,9.37,9.37,0.3,M_UV_relation,0
20897,ceers-full,4.533114,-16.672455631451232,44.950003835346465,1.3,66.4479321401957,8.67,-32.23,8.67,8.67,0.3,M_UV_relation,0
22049,ceers-full,7.1350226,-18.669637759181754,45.85823895245412,2.5,55.6208414369509,10.02,-32.22,10.02,10.02,0.3,M_UV_relation,0
22239,ceers-full,7.131442,-16.226724031172736,45.508658247970416,2.8000000000000003,63.88495294759667,8.97,-32.23,8.97,8.97,0.3,M_UV_relation,0
23054,ceers-full,6.8682966,-18.58860646729115,45.27174315522322,2.1,64.28460296438449,9.94,-32.23,9.94,9.94,0.3,M_UV_relation,0
24464,ceers-full,5.655386,-18.628603087064917,45.38797862456787,2.7,61.57873392283105,9.72,-32.23,9.72,9.72,0.3,M_UV_relation,0
28748,ceers-full,4.7529554,-18.489657343260586,45.052664802125385,1.3,65.65756697521525,9.49,-32.23,9.49,9.49,0.3,M_UV_relation,0
29421,ceers-full,4.785098,-18.16778658143024,44.50431842537272,1.4,70.82442982441934,9.36,-32.24,9.36,9.36,0.3,M_UV_relation,0
30600,ceers-full,4.025932,-16.423998855389815,43.717072921930146,0.6000000000000001,87.27410747781781,8.47,-32.24,8.47,8.47,0.3,M_UV_relation,0
36886,ceers-full,4.4499197,-17.686136875270147,44.612570492325354,1.3,71.03828593380159,9.09,-32.23,9.09,9.09,0.3,M_UV_relation,0
36985,ceers-full,5.6537137,-17.58230214992759,45.14674366269438,2.0,61.34467743649027,9.27,-32.23,9.27,9.27,0.3,M_UV_relation,0
39094,ceers-full,4.73153,-18.281833889964048,44.52583014354708,0.8,68.47869120959936,9.4,-32.24,9.4,9.4,0.3,M_UV_relation,0
40589,ceers-full,8.006711,-18.34084616670424,46.19585284328074,3.3000000000000003,59.37592096716466,10.05,-32.22,10.05,10.05,0.3,M_UV_relation,0
