id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
48540,primer-cosmos-east,150.1150718971086,2.419683492382846,7.11,C-COSMOS (Civano+16),1.2480756751724916e-14,3.7858295480232245e-15,2.3297412603219844e-14,4.16,False
50325,primer-cosmos-east,150.15508225107425,2.4293539770480828,7.17,C-COSMOS (Civano+16),1.2631922448407507e-14,3.83168314268361e-15,2.3579588570360682e-14,4.21,False
50988,primer-cosmos-east,150.17594858416723,2.4324329415506116,7.41,C-COSMOS (Civano+16),1.3289529232774396e-14,4.031157200608233e-15,2.4807121234512208e-14,4.43,False
51514,primer-cosmos-east,150.13169869017457,2.435682049752244,7.73,C-COSMOS (Civano+16),1.420200873002361e-14,4.307942648107162e-15,2.6510416296044074e-14,4.73,False
51855,primer-cosmos-east,150.1732889705725,2.4376768935478195,7.7,C-COSMOS (Civano+16),1.412243592201619e-14,4.283805563011578e-15,2.636188038776356e-14,4.71,False
52084,primer-cosmos-east,150.16342860843284,2.4391549528156817,7.75,C-COSMOS (Civano+16),1.4267597480345804e-14,4.327837902371561e-15,2.663284862997884e-14,4.76,False
52124,primer-cosmos-east,150.20165715786538,2.439373074527328,8.15,C-COSMOS (Civano+16),1.5467068618179334e-14,4.691677480847732e-15,2.887186142060143e-14,5.16,False
54661,primer-cosmos-east,150.15107557650222,2.454351195411005,8.68,C-COSMOS (Civano+16),1.7118823334927528e-14,5.1927097449280164e-15,3.195513689186472e-14,5.71,False
55423,primer-cosmos-east,150.16554471202377,2.459116257258063,8.95,C-COSMOS (Civano+16),1.802978542130774e-14,5.469034911130015e-15,3.3655599453107784e-14,6.01,False
344,primer-uds-south,34.40956852094387,-5.322041059049387,3.9,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.927207767020014e-16,9.757359223400046e-17,5.854415534040028e-16,1.95,False
2480,primer-uds-south,34.53201848616166,-5.315164693684382,9.11,XMM-Newton UDS / UDSz X-ray (Kocevski+18),9.276372846148948e-16,3.0921242820496496e-16,1.8552745692297896e-15,6.18,False
4620,primer-uds-south,34.46652983278183,-5.310307993570016,5.48,XMM-Newton UDS / UDSz X-ray (Kocevski+18),4.314080282168336e-16,1.4380267607227787e-16,8.628160564336672e-16,2.88,False
7830,primer-uds-south,34.24644704030055,-5.303397372461857,8.96,XMM-Newton UDS / UDSz X-ray (Kocevski+18),9.031704799068893e-16,3.010568266356298e-16,1.8063409598137786e-15,6.02,False
9104,primer-uds-south,34.27028437686357,-5.300719530590461,7.56,XMM-Newton UDS / UDSz X-ray (Kocevski+18),6.855628250593338e-16,2.285209416864446e-16,1.3711256501186676e-15,4.57,False
