ID,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,N_filt
29421,ceers-full,4.79,0.018,1.4186062879071703e+83,1.2092921732112569e+83,2.0931411469591344e+82,2.8372125758143406e+83,2.418584346422514e+83,4.186282293918269e+82,1.0,0.0,0.5,1.2,4.25,6
30600,ceers-full,4.03,0.0119,1.220494766218309e+82,1.1231775433145216e+82,9.731722290378753e+80,2.4409895324366183e+82,2.2463550866290432e+82,1.9463444580757506e+81,1.0,0.0,0.5,1.2,9.93,6
36886,ceers-full,4.45,0.0151,1.0662472737398402e+83,8.9060600208243e+82,1.7564127165741002e+82,2.1324945474796802e+83,1.78121200416486e+83,3.5128254331482004e+82,1.0,0.0,0.5,1.2,8.34,6
36985,ceers-full,5.65,0.0265,5.650553065163857e+83,4.328641166701214e+83,1.3219118984626431e+83,1.1301106130327714e+84,8.657282333402428e+83,2.6438237969252863e+83,1.0,0.0,0.5,1.2,14.44,6
39094,ceers-full,4.73,0.0175,2.591943268947108e+83,2.1120274235404425e+83,4.799158454066654e+82,5.183886537894216e+83,4.224054847080885e+83,9.598316908133308e+82,1.0,0.0,0.5,1.2,4.81,6
40589,ceers-full,8.01,0.0578,7.471210443140034e+83,4.2370574682626076e+83,3.234152974877425e+83,1.4942420886280065e+84,8.474114936525216e+83,6.468305949754849e+83,1.0,0.0,0.5,1.2,6.7,6
41179,ceers-full,7.24,0.0464,1.4042475642629428e+84,8.814735381043165e+83,5.227740261586263e+83,2.8084951285258857e+84,1.762947076208633e+84,1.0455480523172526e+84,1.0,0.0,0.5,1.2,3.56,6
41913,ceers-full,5.25,0.0223,6.779793135960566e+84,5.4696024031963066e+84,1.3101907327642596e+84,1.3559586271921132e+85,1.0939204806392613e+85,2.620381465528519e+84,1.0,0.0,0.5,1.2,24.57,6
42093,ceers-full,6.45,0.0357,2.5033857611755565e+84,1.714285585754524e+84,7.891001754210325e+83,5.006771522351113e+84,3.4285711715090485e+84,1.578200350842065e+84,1.0,0.0,0.5,1.2,16.71,6
47021,ceers-full,8.02,0.0581,1.7564990919599923e+83,1.0260284559753564e+83,7.304706359846359e+82,3.5129981839199846e+83,2.052056911950713e+83,1.4609412719692718e+83,1.0,0.0,0.5,1.2,3.77,6
48983,ceers-full,7.14,0.0449,2.732639739973819e+85,1.7403212325311445e+85,9.923185074426743e+84,5.465279479947638e+85,3.480642465062289e+85,1.9846370148853486e+85,1.0,0.0,0.5,1.2,11.93,6
49360,ceers-full,4.74,0.0175,1.2308199891048132e+83,1.0020169377873608e+83,2.2880305131745236e+82,2.4616399782096263e+83,2.004033875574722e+83,4.576061026349047e+82,1.0,0.0,0.5,1.2,3.04,6
55490,ceers-full,7.15,0.0451,1.7828671837489603e+85,1.135848087927078e+85,6.470190958218823e+84,3.5657343674979205e+85,2.271696175854156e+85,1.2940381916437646e+85,1.0,0.0,0.5,1.2,8.62,6
57051,ceers-full,5.67,0.0267,1.9708272229118094e+83,1.5075307017102957e+83,4.6329652120151365e+82,3.941654445823619e+83,3.0150614034205913e+83,9.265930424030274e+82,1.0,0.0,0.5,1.2,5.97,6
58630,ceers-full,4.55,0.0159,1.524733580671721e+83,1.3359215660981237e+83,1.8881201457359726e+82,3.049467161343442e+83,2.6718431321962474e+83,3.776240291471945e+82,1.0,0.0,0.5,1.2,6.4,6
59162,ceers-full,7.84,0.0553,4.377553642183354e+84,2.5564942456757533e+84,1.8210593965076009e+84,8.755107284366708e+84,5.112988491351507e+84,3.642118793015202e+84,1.0,0.0,0.5,1.2,4.81,6
59626,ceers-full,6.37,0.0348,1.7336004656677955e+84,1.2536753137423814e+84,4.799251519254142e+83,3.4672009313355905e+84,2.5073506274847625e+84,9.598503038508283e+83,1.0,0.0,0.5,1.2,3.51,6
60774,ceers-full,5.28,0.0227,3.883669959292041e+83,3.106359454891844e+83,7.773105044001968e+82,7.767339918584082e+83,6.212718909783688e+83,1.5546210088003937e+83,1.0,0.0,0.5,1.2,7.49,6
61323,ceers-full,7.13,0.0447,4.969067142034698e+83,3.291281769117664e+83,1.6777853729170341e+83,9.938134284069396e+83,6.582563538235328e+83,3.3555707458340683e+83,1.0,0.0,0.5,1.2,8.77,6
63106,ceers-full,5.66,0.0265,7.780195140254738e+83,5.961100859235907e+83,1.8190942810188298e+83,1.5560390280509474e+84,1.1922201718471815e+84,3.6381885620376596e+83,1.0,0.0,0.5,1.2,6.9,6
67137,ceers-full,7.5,0.05,6.014384747622101e+83,3.740327441446121e+83,2.2740573061759798e+83,1.2028769495244202e+84,7.480654882892242e+83,4.54811461235196e+83,1.0,0.0,0.5,1.2,1.57,6
68816,ceers-full,4.53,0.0158,1.3724141231410986e+83,1.2041012617017128e+83,1.683128614393858e+82,2.744828246282197e+83,2.4082025234034256e+83,3.366257228787716e+82,1.0,0.0,0.5,1.2,12.35,6
70681,ceers-full,7.9,0.0562,1.252029184070887e+84,7.22158369305056e+83,5.298708147658311e+83,2.504058368141774e+84,1.444316738610112e+84,1.0597416295316622e+84,1.0,0.0,0.5,1.2,6.41,6
71267,ceers-full,7.52,0.0504,3.392294123356281e+83,2.0290555531001155e+83,1.3632385702561656e+83,6.784588246712562e+83,4.058111106200231e+83,2.7264771405123313e+83,1.0,0.0,0.5,1.2,4.01,6
71321,ceers-full,7.13,0.0448,2.9719317441247116e+83,1.9682366039752183e+83,1.0036951401494933e+83,5.943863488249423e+83,3.9364732079504365e+83,2.007390280298987e+83,1.0,0.0,0.5,1.2,8.69,6
71380,ceers-full,7.13,0.0447,2.1346347521261825e+84,1.4134673715618176e+84,7.211673805643648e+83,4.269269504252365e+84,2.8269347431236353e+84,1.4423347611287297e+84,1.0,0.0,0.5,1.2,15.0,6
