id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
22773,primer-uds-north,4.401274,7,0.031247,0.062493,158.594269,39.898234,118.696036,796.863167,203.382989,593.480178,Weak,0.389174,0.299784,0.474133,0.297269
23575,primer-uds-north,5.660595,7,0.056454,0.112907,217.104142,224.686236,-7.582094,1089.412532,1127.323001,-37.910469,Null wins,0.000000,0.363245,0.000028,0.380787
24081,primer-uds-north,5.656405,7,0.056358,0.112715,314.534864,323.058165,-8.523300,1576.566142,1619.182643,-42.616501,Null wins,0.173000,0.250712,0.179727,0.259922
24100,primer-uds-north,4.991886,7,0.042138,0.084275,84.451385,88.966219,-4.514835,426.148744,448.722918,-22.574174,Null wins,0.430671,0.308131,0.433311,0.319806
29106,primer-uds-north,5.204843,7,0.046472,0.092944,91.776762,93.694347,-1.917585,462.775633,472.363557,-9.587924,Null wins,0.407741,0.260460,0.409871,0.271177
29110,primer-uds-north,7.128775,7,0.095017,0.190034,33.710645,35.562655,-1.852010,172.445048,181.705096,-9.260048,Null wins,0.190089,0.315901,0.196101,0.336996
31581,primer-uds-north,4.163408,7,0.027341,0.054683,19.349286,19.299309,0.049977,100.638248,100.388364,0.249884,Weak,0.430271,0.195637,0.426407,0.202696
31645,primer-uds-north,4.755920,7,0.037585,0.075170,59.950853,59.139278,0.811575,303.646087,299.588211,4.057876,Weak,0.432876,0.277928,0.431835,0.289083
32025,primer-uds-north,4.043331,7,0.025477,0.050954,137.968953,140.633228,-2.664275,693.736585,707.057961,-13.321375,Null wins,0.261162,0.350803,0.260933,0.360246
32237,primer-uds-north,4.612168,7,0.034942,0.069884,478.564516,463.141760,15.422756,2396.714401,2319.600621,77.113780,Weak,0.325196,0.281026,0.324841,0.291582
32986,primer-uds-north,4.152747,7,0.027173,0.054346,20.117659,20.221621,-0.103962,104.480118,104.999925,-0.519808,Neutral,0.552090,0.203701,0.553200,0.208984
33332,primer-uds-north,4.541976,7,0.033688,0.067376,138.434459,138.178938,0.255520,696.064114,694.786512,1.277602,Weak,0.581734,0.195848,0.581674,0.202813
33774,primer-uds-north,7.137637,7,0.095279,0.190559,27.965899,28.955071,-0.989172,143.721314,148.667173,-4.945859,Neutral,0.437054,0.217909,0.441622,0.232018
35111,primer-uds-north,5.656314,7,0.056355,0.112711,197.326842,204.005696,-6.678854,990.526028,1023.920301,-33.394272,Null wins,0.235009,0.281357,0.244895,0.291317
36327,primer-uds-north,7.861698,7,0.117943,0.235885,2.301766,9.043952,-6.742186,15.400649,49.111578,-33.710930,Null wins,0.539098,0.229912,0.730665,0.241332
42014,primer-uds-north,4.551596,7,0.033859,0.067717,10.709522,10.674653,0.034869,57.439430,57.265084,0.174346,Weak,0.525314,0.250815,0.523754,0.260266
