id,field,z_phot,ha_observed_um,ha_instrument,nirspec_programs,has_spectrum,ha_flux,ha_fwhm_kms,ha_ew_angstrom,ha_snr,oiii_flux,oiii_ew,hb_flux,z_spec
57051,ceers-full,5.668079,4.38,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
58630,ceers-full,4.546808,3.64,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
59162,ceers-full,7.84113,5.8,MIRI (unlikely),1287|1345,False,,,,,,,,
59626,ceers-full,6.367115,4.83,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
60774,ceers-full,5.2847676,4.12,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
61323,ceers-full,7.1270275,5.33,MIRI (unlikely),1287|1345,False,,,,,,,,
63106,ceers-full,5.655657,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
67137,ceers-full,7.4964614,5.58,MIRI (unlikely),1287|1345,False,,,,,,,,
68816,ceers-full,4.532283,3.63,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
70681,ceers-full,7.9008055,5.84,MIRI (unlikely),1287|1345,False,,,,,,,,
71267,ceers-full,7.5175495,5.59,MIRI (unlikely),1287|1345,False,,,,,,,,
71321,ceers-full,7.12932,5.34,MIRI (unlikely),1287|1345,False,,,,,,,,
71380,ceers-full,7.1262627,5.33,MIRI (unlikely),1287|1345,False,,,,,,,,
72633,ceers-full,5.4433956,4.23,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
72956,ceers-full,8.90418,6.5,MIRI (unlikely),1287|1345,False,,,,,,,,
73890,ceers-full,5.6603184,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1287|1345,False,,,,,,,,
7242,primer-cosmos-west,5.6587553,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
8118,primer-cosmos-west,5.642418,4.36,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
13074,primer-cosmos-west,5.214783,4.08,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
13666,primer-cosmos-west,5.2880526,4.13,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
15233,primer-cosmos-west,4.9860177,3.93,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
16152,primer-cosmos-west,5.7143655,4.41,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
18540,primer-cosmos-west,8.933716,6.52,MIRI (unlikely),1837,False,,,,,,,,
21037,primer-cosmos-west,4.4761047,3.59,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
21620,primer-cosmos-west,8.087144,5.96,MIRI (unlikely),1837,False,,,,,,,,
22379,primer-cosmos-west,5.734882,4.42,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
22483,primer-cosmos-west,7.1354685,5.34,MIRI (unlikely),1837,False,,,,,,,,
22702,primer-cosmos-west,5.4311905,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
25633,primer-cosmos-west,7.051051,5.28,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
26495,primer-cosmos-west,5.019624,3.95,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
28491,primer-cosmos-west,5.5851088,4.32,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
28500,primer-cosmos-west,5.42897,4.22,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
29372,primer-cosmos-west,5.3858166,4.19,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
29568,primer-cosmos-west,4.3603206,3.52,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
30073,primer-cosmos-west,6.004138,4.6,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
30145,primer-cosmos-west,5.6646295,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
31319,primer-cosmos-west,6.3338737,4.81,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
31661,primer-cosmos-west,4.4626226,3.59,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
32535,primer-cosmos-west,5.7491784,4.43,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
33230,primer-cosmos-west,4.7521863,3.78,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
36162,primer-cosmos-west,6.410995,4.86,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
42656,primer-cosmos-west,5.6853933,4.39,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
43505,primer-cosmos-west,4.6754527,3.72,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
44446,primer-cosmos-west,7.1314645,5.34,MIRI (unlikely),1837,False,,,,,,,,
46914,primer-cosmos-west,5.654763,4.37,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
47165,primer-cosmos-west,5.2337646,4.09,NIRSpec (F100LP+G140H/F170LP+G235H),1837,False,,,,,,,,
