id,field,z_phot,z_dist,chi2nu_null,chi2nu_geff,delta_chi2nu,bic_null,bic_geff,delta_bic,C_blue,C_red,C_AGN,alpha_AGN,ir_excess,verdict,n_filters
25430,primer-uds-south,7.128,0.04476,28.1,28.41,-0.3,92.1,93.0,-0.9,0.095,0.149,0.2894,0.01,6.39,Neutral,7
28931,primer-uds-south,7.905,0.05624,432.09,439.39,-7.3,1304.1,1326.0,-21.9,0.0,0.214,0.281,0.01,11.87,Null wins,7
29392,primer-uds-south,7.471,0.04967,6.06,6.33,-0.28,26.0,26.8,-0.8,0.0,0.314,0.3635,0.01,8.01,Neutral,7
30157,primer-uds-south,4.727,0.01745,39.18,38.92,0.26,125.3,124.5,0.8,0.0,0.264,0.1448,0.713,3.39,Neutral,7
30191,primer-uds-south,4.037,0.01196,34.48,34.46,0.02,111.2,111.2,0.1,0.428,0.262,0.0422,0.501,6.09,Neutral,7
30520,primer-uds-south,5.35,0.02334,6.36,6.42,-0.06,26.9,27.0,-0.2,0.375,0.247,0.1721,0.01,4.03,Neutral,7
32880,primer-uds-south,4.756,0.01771,287.94,285.51,2.43,871.6,864.3,7.3,0.0,0.23,0.0489,1.04,8.18,Weak,7
33445,primer-uds-south,4.346,0.01428,369.46,369.45,0.01,1116.2,1116.1,0.0,0.0,0.064,0.3449,0.371,1.97,Neutral,7
33898,primer-uds-south,4.545,0.0159,11.31,11.28,0.03,41.7,41.6,0.1,0.0,0.194,0.057,1.051,2.78,Neutral,7
36872,primer-uds-south,7.135,0.04486,133.96,135.55,-1.59,409.7,414.4,-4.8,0.0,0.203,0.302,0.01,13.7,Neutral,7
37557,primer-uds-south,5.656,0.02655,1424.91,1434.97,-10.05,4282.5,4312.7,-30.2,0.0,0.137,0.386,0.01,8.87,Null wins,7
37751,primer-uds-south,5.359,0.02344,651.81,658.48,-6.67,1963.2,1983.2,-20.0,0.0,0.221,0.2031,0.01,14.06,Null wins,7
