id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
31770,primer-cosmos-east,5.7791,7,0.094468,0.188936,231.3287,231.3287,0.0000,466.88,466.88,0.00,1.0000,1.0000,-2.7398,-2.7398,38844.5679,115073.9771,38314.3427,123374.8227,Neutral
32928,primer-cosmos-east,4.4581,7,0.094396,0.188793,2906.4893,2906.4893,-0.0000,5817.20,5817.20,-0.00,1.0000,1.0000,-1.4440,-1.4440,136.0011,0.0669,0.2634,268.0819,Neutral
40209,primer-cosmos-east,5.4609,7,0.094459,0.188918,23.5316,23.5316,-0.0000,51.29,51.29,-0.00,0.9952,0.5083,-2.2107,-2.2107,0.0000,0.0740,0.0000,0.0008,Neutral
40642,primer-cosmos-east,4.6343,7,0.094413,0.188826,112.5962,112.5962,-0.0000,229.42,229.42,-0.00,1.0000,1.0000,-0.9296,-0.9296,518.7794,60.7003,517.7831,23.7707,Neutral
40799,primer-cosmos-east,7.6812,7,0.094491,0.188983,80.3192,80.3192,-0.0000,164.86,164.86,-0.00,1.0000,0.9994,-3.0000,-3.0000,0.0000,204.4383,0.0000,1.1395,Neutral
42464,primer-cosmos-east,5.3675,7,0.094456,0.188911,35.4180,34.2929,1.1251,75.06,72.81,2.25,0.9999,0.9999,-2.6488,-2.6996,5819.0467,0.0373,5997.0078,0.0000,Neutral
43445,primer-cosmos-east,5.6969,7,0.094466,0.188932,4.6701,4.6701,0.0000,13.57,13.57,0.00,1.0000,1.0000,-1.8279,-1.8279,277.1251,0.2760,211.9670,0.2312,Neutral
45179,primer-cosmos-east,7.1055,7,0.094488,0.188975,33.8494,33.8494,0.0000,71.92,71.92,0.00,0.9999,0.9998,-2.6765,-2.6765,1333.1774,0.0000,1098.5438,0.0000,Neutral
47824,primer-cosmos-east,5.6555,7,0.094465,0.188930,28.6140,28.6140,0.0000,61.45,61.45,0.00,1.0000,1.0000,-3.0000,-3.0000,5812.7543,17.0196,5062.0213,16.2216,Neutral
48498,primer-cosmos-east,4.4533,7,0.094396,0.188792,8.6885,8.6885,-0.0000,21.60,21.60,-0.00,0.0802,0.0575,-1.3424,-1.3424,0.0000,0.0004,0.0000,0.0005,Neutral
48540,primer-cosmos-east,5.6562,7,0.094465,0.188930,2.7134,2.7134,0.0000,9.65,9.65,0.00,1.0000,1.0000,-3.0000,-3.0000,991.5945,3.9268,1717.5463,7.4443,Neutral
50325,primer-cosmos-east,6.4277,7,0.094480,0.188961,680.3107,680.3106,0.0000,1364.85,1364.85,0.00,1.0000,0.6109,-1.2613,-1.2613,106.2085,20668.9332,0.0000,0.0005,Neutral
50988,primer-cosmos-east,4.5265,7,0.094403,0.188807,5369.3723,5369.3723,-0.0000,10742.97,10742.97,-0.00,1.0000,1.0000,-1.5568,-1.5567,0.1502,0.3133,60.0000,0.2882,Neutral
51514,primer-cosmos-east,4.4367,7,0.094394,0.188788,3378.1515,3378.1515,-0.0000,6760.53,6760.53,-0.00,1.0000,1.0000,-1.5189,-1.5189,0.0645,0.1848,0.0000,0.0000,Neutral
