SDSS_NAME,RA,DEC,Z,LORD_TYPE,AUTOCLASS,PSFMAG_U,PSFMAG_G,PSFMAG_R,PSFMAG_I,PSFMAG_Z
133741.77+451013.7,204.42404973260486,45.170483229302285,0.419,red2,QSO,21.888796,22.277382,21.499405,20.846733,20.339346
133827.97+573344.8,204.6165474967064,57.5624502663338,0.46028992533683777,red2,QSO,22.644896,21.946793,21.551485,21.102186,20.45723
133854.68+482331.9,204.72787038338566,48.39219634447026,0.39311549067497253,red2,QSO,24.933199,24.51112,22.49457,21.483074,20.255106
133954.29+565841.4,204.97624782407377,56.97817811836787,0.7930519580841064,red1,QSO,21.832132,21.79536,21.822859,21.430826,20.735538
134038.64+402119.0,205.1610242937608,40.355279718224644,0.452,red2,QSO,22.32828,21.92895,20.860773,20.018322,19.597692
134156.22+113329.7,205.48426675434598,11.558253894202798,0.84,red1,UNK,22.299358,21.922663,21.217628,20.53562,19.84678
134208.62+565720.0,205.5359223619567,56.95555721746396,0.39512354135513306,red2,QSO,21.553982,21.304554,20.756802,20.287418,19.73442
134231.80+350710.3,205.63253989038986,35.1195279005559,0.775023877620697,red1,QSO,22.218048,21.922724,21.561558,21.15716,20.271196
134321.39+321955.5,205.8391438487023,32.332106056967945,0.6906101107597351,red1,QSO,22.626398,22.28803,22.554504,21.822445,21.510477
134333.56+362732.0,205.88985749803274,36.45890551969901,0.7763082385063171,red1,QSO,22.24561,21.869131,21.846642,21.348227,20.829004
134342.47+410256.4,205.9269601017208,41.04901978126815,0.681793749332428,red1,QSO,22.28694,21.712572,21.525522,20.912928,20.369577
134645.51+231137.0,206.689658,23.193621,0.4105,red2,UNK,19.85122,19.311596,18.55311,18.113605,17.467451
134722.02+502121.3,206.84176935801412,50.35594434305773,0.829,red1,QSO,22.253952,21.50003,21.408918,21.032284,20.367104
134810.54+475925.6,207.04395522193113,47.990471955559336,0.7396767139434814,red1,QSO,22.842026,22.07591,21.585487,21.080957,20.253443
134811.44+452024.3,207.0476989535464,45.34010521465439,0.7185187339782715,red1,QSO,25.172407,24.904955,22.184544,21.144516,20.029598
134945.06+485710.9,207.437778,48.953032,0.73526,red1,UNK,21.976019,21.357014,20.99732,20.229156,19.977213
135020.26+264101.9,207.58442424292429,26.683861811449482,0.42,red2,QSO,21.534025,20.806677,20.500319,19.575226,19.26312
135049.36+445830.5,207.70569726053614,44.97514748052712,0.8188123106956482,red1,QSO,22.245987,21.90457,21.844627,21.539087,20.644686
135105.61+523820.3,207.77339383053112,52.63899802716855,0.8300254344940186,red1,QSO,22.511255,21.757355,21.752106,21.236391,20.659552
135144.73+481128.5,207.93637574889553,48.19125188646178,0.7344804406166077,red1,QSO,23.643799,22.903494,21.990986,21.38049,20.301056
135405.80+575319.1,208.52419073035463,57.88866515525225,0.8187013864517212,red1,QSO,22.1727,21.465784,21.017038,20.616974,19.980488
135408.11+633800.7,208.53379579016212,63.63353883577048,0.85,red1,QSO,19.678885,20.097528,24.756117,24.328869,19.235722
135514.27+415435.1,208.8094724236105,41.90976426618906,0.8044148087501526,red1,QSO,22.461443,22.316006,22.378075,21.951338,21.116367
135643.47+390041.0,209.18115258359063,39.01139262704254,0.6997466087341309,red1,QSO,21.707895,21.578535,22.127693,21.302807,21.081408
135835.35+354802.5,209.64732068191034,35.80071297345257,0.7987908124923706,red1,QSO,22.64686,21.949326,21.874968,21.531206,20.77409
135839.91+412913.4,209.6663299979359,41.487065327941636,0.7232322692871094,red1,QSO,22.296835,21.970287,21.854774,21.503063,20.771965
140137.98+534837.7,210.40826386365353,53.8104895008963,0.7001076340675354,red1,QSO,22.529964,21.771711,21.609158,20.924416,20.505259
140214.25+231405.1,210.55938654031036,23.234751613076746,0.437,red2,UNK,21.224794,20.83868,20.450132,19.779123,19.102726
140337.33+495538.0,210.90554333829456,49.927245795864245,0.825387716293335,red1,QSO,22.891592,22.164845,22.444628,21.904095,21.29158
140540.97+541055.4,211.42072132978097,54.18206378926449,0.4565553069114685,red2,QSO,21.35219,21.071102,20.868067,20.330952,19.866943
140733.70+514248.0,211.89043871353317,51.713350703511004,0.8506910800933838,red1,QSO,21.942001,22.402637,21.816889,20.880762,20.470076
140741.57+594451.7,211.92322103378422,59.74770158033499,0.7273887395858765,red1,QSO,22.861656,22.07519,21.161768,20.449347,20.10745
140900.43+535428.8,212.2518014088795,53.90800732517237,0.707,red1,QSO,22.284714,21.777348,21.413166,20.964087,20.316593
140906.08+362500.9,212.27537435895533,36.41692921171747,0.463,red2,UNK,21.632345,21.159393,20.621399,19.915129,19.48913
140908.93+411445.7,212.28721528721763,41.246054696736515,0.8740214705467224,red1,QSO,22.066366,21.880766,22.027706,21.640633,20.756556
140923.51-012430.5,212.347993,-1.40849,0.40487,red2,UNK,19.842222,19.907701,19.881594,19.384848,18.808857
