id,field,ra,dec,z_phot,F444W_mag,r_eff_50_phys,r_eff_arcsec,SB_F444W,logSigma_Mstar,logMstar_best,verdict
23107,primer-uds-south,34.3965085751051,-5.274229901107692,4.9525127,34.07365609920559,169.02787965091744,0.0262014211360959,27.408155018995053,4.644083312903493,9.1,Weak
25430,primer-uds-south,34.45335415712461,-5.27071720106125,7.1282,33.464072960997036,73.30048856467192,0.013876955511064167,25.418418622543115,6.419786261352561,10.15,Neutral
28931,primer-uds-south,34.4660858542292,-5.264767804165725,7.9047303,32.16227810259415,64.03652116954194,0.012919783951397356,23.961429040898626,6.9971445389492395,10.61,Null wins
29392,primer-uds-south,34.29312046883255,-5.264069605027436,7.4709635,32.77550446299933,99.15001900293842,0.019314534343380065,25.447800355459258,6.357414396444931,10.35,Null wins
30157,primer-uds-south,34.45432855170366,-5.262759699820477,4.726915,34.50620471453506,140.7088541482793,0.02132483447117761,27.39350774000907,4.753357147180921,9.05,Weak
30191,primer-uds-south,34.24697565603606,-5.262728212675196,4.036579,33.7162980321922,143.98042061934908,0.02033008064490454,26.4998682208825,5.003393124074925,9.32,Support
30520,primer-uds-south,34.39279305787786,-5.262175958673707,5.349781,33.48074994734808,125.41466121274044,0.020212942531505306,26.251772335248027,5.433303381371006,9.63,Neutral
32880,primer-uds-south,34.33242917035397,-5.258098716321886,4.7559557,33.380568232241316,103.41219140791682,0.015718292398288064,25.605469731182417,5.430856517279605,9.46,Support
33445,primer-uds-south,34.29753202893787,-5.257188779490052,4.34576,33.6710943004436,148.13361631268566,0.021595800501492325,26.585815516557155,5.238692749636312,9.58,Support
33898,primer-uds-south,34.35550806508812,-5.256449826079847,4.545273,34.30332414300743,109.44208787273796,0.016284002169294775,26.605004582555146,5.241631260652894,9.32,Neutral
36872,primer-uds-south,34.4070890500239,-5.251666396435935,7.135115,33.07719939010113,79.31382445272976,0.01502414366274622,25.20402271043747,6.06130221653087,9.86,Null wins
37557,primer-uds-south,34.42231096893665,-5.250702720659581,5.655718,31.901598857556323,144.48232119913436,0.023977477826801645,25.043491029538085,5.880370579522411,10.2,Null wins
37751,primer-uds-south,34.51421982359461,-5.2503646885674895,5.3592114,32.040692081410064,69.87817287995404,0.01127245954287882,23.543660189587115,5.961316918269103,9.65,Neutral
37878,primer-uds-south,34.40181687272715,-5.25016724014793,4.7731967,33.53772150469016,141.10773680466824,0.02148508253214461,26.441281317969402,5.180898347268639,9.48,Weak
39711,primer-uds-south,34.41973629558163,-5.247058526889604,5.461955,34.305498266529966,118.3386882015886,0.01927969189599445,26.973873394611125,5.343746498476457,9.49,Neutral
